datetime,symbol,open,high,low,close,volume,vwap,transactions
2024-10-31 22:40:00,MSFT,409.75,409.8,409.5684,409.5684,2194.0,409.7262,165
2024-10-31 22:45:00,MSFT,409.74,409.75,409.712,409.74,2144.0,409.737,80
2024-10-31 22:50:00,MSFT,409.75,409.75,409.6,409.7,4728.0,409.6952,224
2024-10-31 22:55:00,MSFT,409.65,409.68,409.4,409.5,6049.0,409.5328,303
2024-10-31 23:00:00,MSFT,409.5,409.5,409.07,409.19,2413.0,409.3777,121
2024-10-31 23:05:00,MSFT,409.12,409.12,408.7111,408.7111,4678.0,409.0552,212
2024-10-31 23:10:00,MSFT,408.659,408.85,408.2371,408.47,5813.0,408.5777,235
2024-10-31 23:15:00,MSFT,408.4,408.65,408.4,408.65,1600.0,408.5124,61
2024-10-31 23:20:00,MSFT,409.0,409.28,408.924,409.28,3235.0,408.9917,107
2024-10-31 23:25:00,MSFT,409.16,409.3,409.0,409.0,1445.0,409.1037,108
2024-10-31 23:30:00,MSFT,409.0001,409.2,409.0,409.0,3821.0,409.1217,159
2024-10-31 23:35:00,MSFT,409.0001,409.15,408.95,409.0,4083.0,409.0208,148
2024-10-31 23:40:00,MSFT,408.95,409.0,408.9,408.9,3428.0,408.9624,103
2024-10-31 23:45:00,MSFT,408.8,408.8,408.6501,408.7,2027.0,408.7409,79
2024-10-31 23:50:00,MSFT,408.8,409.05,408.2077,409.05,6112.0,408.6261,258
2024-10-31 23:55:00,MSFT,408.9,409.05,408.7,408.9661,6936.0,408.8788,243
2024-11-01 08:00:00,MSFT,409.53,410.25,409.53,410.25,6130.0,409.8906,330
2024-11-01 08:05:00,MSFT,410.59,410.74,410.22,410.22,8824.0,410.499,398
2024-11-01 08:10:00,MSFT,410.14,410.23,410.0,410.23,2372.0,410.0702,97
2024-11-01 08:15:00,MSFT,410.39,410.4,410.3,410.3,2215.0,410.3509,103
2024-11-01 08:20:00,MSFT,410.27,410.4,410.19,410.4,2023.0,410.2913,84
2024-11-01 08:25:00,MSFT,410.45,410.45,410.36,410.37,1715.0,410.4,66
2024-11-01 08:30:00,MSFT,410.38,411.0,410.38,411.0,4236.0,410.7854,144
2024-11-01 08:35:00,MSFT,410.99,411.17,410.99,411.16,3729.0,411.1165,124
2024-11-01 08:40:00,MSFT,411.18,411.18,411.0,411.18,4529.0,411.0996,175
2024-11-01 08:45:00,MSFT,411.3,411.3,411.08,411.08,2977.0,411.1772,147
2024-11-01 08:50:00,MSFT,410.97,411.36,410.95,411.36,5177.0,411.1079,158
2024-11-01 08:55:00,MSFT,410.95,410.96,410.88,410.89,1077.0,410.9217,27
2024-11-01 09:00:00,MSFT,411.0,411.15,410.98,411.15,1874.0,411.0799,37
2024-11-01 09:05:00,MSFT,411.16,411.25,411.01,411.01,3059.0,411.1657,114
2024-11-01 09:10:00,MSFT,411.16,411.35,411.16,411.35,1417.0,411.2997,54
2024-11-01 09:15:00,MSFT,411.4,411.4,411.04,411.04,6154.0,411.26,134
2024-11-01 09:25:00,MSFT,411.38,411.4,411.37,411.37,1004.0,411.3842,41
2024-11-01 09:30:00,MSFT,411.47,411.47,410.74,410.74,5019.0,411.0311,268
2024-11-01 09:35:00,MSFT,410.74,410.74,410.5,410.5,2834.0,410.6239,120
2024-11-01 09:40:00,MSFT,410.46,410.6,410.4,410.6,1574.0,410.4985,73
2024-11-01 09:45:00,MSFT,410.23,410.55,410.19,410.5,3761.0,410.2735,84
2024-11-01 09:50:00,MSFT,410.6,410.67,410.56,410.56,689.0,410.6065,21
2024-11-01 09:55:00,MSFT,410.51,410.51,410.5,410.5,829.0,410.5253,45
2024-11-01 10:05:00,MSFT,410.51,411.0,410.51,411.0,3546.0,410.7554,71
2024-11-01 10:10:00,MSFT,411.01,411.01,411.0,411.0,814.0,411.0096,20
2024-11-01 10:15:00,MSFT,411.05,411.98,411.0,411.45,5282.0,411.4613,121
2024-11-01 10:20:00,MSFT,411.39,411.39,411.39,411.39,362.0,411.3789,26
2024-11-01 10:25:00,MSFT,411.36,411.53,411.3,411.53,1153.0,411.4229,53
2024-11-01 10:30:00,MSFT,411.99,411.99,411.68,411.68,938.0,411.8339,86
2024-11-01 10:35:00,MSFT,411.67,412.0,411.46,411.7,5333.0,411.8107,153
2024-11-01 10:40:00,MSFT,411.7,411.99,411.7,411.78,3343.0,411.8647,82
2024-11-01 10:45:00,MSFT,411.79,411.79,411.79,411.79,789.0,411.7724,27
2024-11-01 10:50:00,MSFT,411.99,411.99,411.99,411.99,1195.0,411.9374,52
2024-11-01 10:55:00,MSFT,411.97,411.97,411.79,411.79,1972.0,411.8608,107
2024-11-01 11:00:00,MSFT,411.68,411.8,410.5,410.72,16203.0,411.123,532
2024-11-01 11:05:00,MSFT,410.9,410.9,410.3,410.49,6658.0,410.5018,304
2024-11-01 11:10:00,MSFT,410.33,410.53,410.24,410.45,4862.0,410.3995,172
2024-11-01 11:15:00,MSFT,410.53,410.54,410.51,410.52,1604.0,410.5166,66
2024-11-01 11:20:00,MSFT,410.44,410.44,410.33,410.33,1594.0,410.3783,77
2024-11-01 11:25:00,MSFT,410.44,410.44,410.4,410.4,513.0,410.4381,16
2024-11-01 11:30:00,MSFT,410.65,410.65,410.4,410.5,3333.0,410.5068,323
2024-11-01 11:35:00,MSFT,410.7,410.9,410.61,410.61,2737.0,410.7926,82
2024-11-01 11:40:00,MSFT,410.88,411.0,410.8,410.84,4478.0,410.9271,134
2024-11-01 11:45:00,MSFT,410.61,410.61,410.25,410.28,5816.0,410.4447,263
2024-11-01 11:50:00,MSFT,410.36,410.95,410.36,410.83,7869.0,410.6944,210
2024-11-01 11:55:00,MSFT,410.8,410.95,410.8,410.89,3016.0,410.8378,70
2024-11-01 12:00:00,MSFT,410.72,411.77,409.38,411.55,71516.0,410.5865,2549
2024-11-01 12:05:00,MSFT,411.2004,411.3947,411.1451,411.2752,8648.0,411.2597,281
